Date,Open,High,Low,Close,Adj Close,Volume
21/04/2020,42.459999,43.599998,41.509998,43.139999,42.729603,4063300
22/04/2020,41.150002,42.540001,41.110001,41.610001,41.214157,4817000
23/04/2020,41.799999,42.849998,41.650002,41.93,41.531113,1870200
24/04/2020,42.330002,42.5,41.150002,41.91,41.511303,1791300
27/04/2020,42.799999,44.389999,42.700001,44.16,43.739899,1946000
28/04/2020,45.779999,47.029999,45.16,46.849998,46.404308,2262300
29/04/2020,47.709999,49.220001,47.689999,48.66,48.19709,2723400
30/04/2020,46.82,46.860001,45.380001,46.52,46.07745,3502100
01/05/2020,46.400002,46.48,44.709999,44.790001,44.363907,1640100
04/05/2020,42.419998,43.02,41.669998,42.389999,41.986736,3545300
05/05/2020,41.900002,42.34,41.419998,41.490002,41.095303,3160500
06/05/2020,42.450001,42.77,41.93,42.630001,42.224457,2181200
07/05/2020,43.950001,43.98,42.41,42.43,42.02636,1913500
08/05/2020,43.299999,43.490002,43.02,43.34,42.9277,2164500
11/05/2020,43.279999,43.279999,42.73,42.73,42.323502,2042900
12/05/2020,42.439999,42.599998,41.509998,41.509998,41.115108,1776500
13/05/2020,40.98,41.139999,39.77,40.209999,39.827477,2586900
14/05/2020,38.619999,39.66,37.93,39.52,39.144043,3712800
15/05/2020,39.66,40.25,39.400002,39.970001,39.58976,1832300
18/05/2020,41.130001,43.240002,41.110001,43.110001,42.69989,2694500
19/05/2020,42.869999,42.919998,40.639999,41.259998,40.867485,5896400
20/05/2020,42.25,42.540001,41.75,42.18,41.778736,3440700
21/05/2020,41.450001,41.869999,40.889999,41.150002,40.758537,3657900
22/05/2020,41.130001,41.139999,40.310001,40.900002,40.510914,3335200
26/05/2020,43.139999,44.740002,42.830002,44.400002,43.977619,6055700
27/05/2020,47.75,47.75,45.959999,47.139999,46.691551,4867700
28/05/2020,48.349998,48.349998,47.389999,47.48,47.028316,4249800
29/05/2020,47,47.130001,46.189999,46.880001,46.434025,3144500
01/06/2020,47.830002,49.110001,47.459999,48.93,48.464523,3095500
